id,creation_date,post_id,vote_type_id
90360929,6/1/2015 0:00:00,30565693,11
90847302,6/8/2015 0:00:00,30717896,12
225884893,2/6/2021 0:00:00,65972178,15
226073717,2/9/2021 0:00:00,66123908,11
226204770,2/11/2021 0:00:00,66154723,11
226540154,2/17/2021 0:00:00,62608750,11
161259988,4/13/2018 0:00:00,49731715,9
50542494,7/16/2013 0:00:00,17679714,11
51032770,7/24/2013 0:00:00,16100868,8
116403153,6/20/2016 0:00:00,37922874,11
116460222,6/21/2016 0:00:00,37938815,11
251725309,5/21/2022 0:00:00,34624803,15
252059750,5/28/2022 0:00:00,72394091,15
252263011,6/1/2022 0:00:00,66753345,15
252483280,6/6/2022 0:00:00,72339161,15
96832820,9/6/2015 0:00:00,25200005,8
97534249,9/17/2015 0:00:00,32618652,15
129488532,1/4/2017 0:00:00,41452130,15
129911185,1/10/2017 0:00:00,41495178,9
181198731,2/18/2019 0:00:00,54755288,11
174208542,10/30/2018 0:00:00,4261133,15
63714353,3/3/2014 0:00:00,22143010,15
22510683,12/27/2011 0:00:00,8640346,15
22629423,12/30/2011 0:00:00,8683112,11
22655289,1/1/2012 0:00:00,8686773,15
23043632,1/11/2012 0:00:00,8826222,15
23133293,1/14/2012 0:00:00,8859328,15
104052481,12/24/2015 0:00:00,34447436,11
104214613,12/28/2015 0:00:00,34392478,9
167665035,7/19/2018 0:00:00,46624343,15
15520978,5/31/2011 0:00:00,6160551,9
200254834,12/24/2019 0:00:00,59444053,9
200484639,12/29/2019 0:00:00,59519471,11
29532078,6/21/2012 0:00:00,11131743,15
29532592,6/21/2012 0:00:00,11113664,15
29731072,6/26/2012 0:00:00,11184003,9
29852248,6/28/2012 0:00:00,10899518,9
29918161,6/29/2012 0:00:00,11254421,11
29924373,6/29/2012 0:00:00,10833866,11
123072879,9/27/2016 0:00:00,39735563,11
123375529,10/2/2016 0:00:00,39803701,15
76918458,10/18/2014 0:00:00,26400376,11
109786490,3/16/2016 0:00:00,36037854,12
109787337,3/16/2016 0:00:00,36031228,15
110154898,3/22/2016 0:00:00,955494,15
110577071,3/28/2016 0:00:00,36263953,9
110673561,3/29/2016 0:00:00,36262789,15
142153744,7/5/2017 0:00:00,44919447,15
219942093,10/29/2020 0:00:00,64505852,9
193370662,8/31/2019 0:00:00,18964900,15
246370873,2/7/2022 0:00:00,71016792,12
246426935,2/8/2022 0:00:00,71020075,11
58430924,12/4/2013 0:00:00,20356062,15
58552105,12/6/2013 0:00:00,5154121,15
58552210,12/6/2013 0:00:00,20415673,11
239762631,10/6/2021 0:00:00,69462900,11
